Moisture_Level,temperature_C,humidity,Is_rainy,Reduce_Water
63,20,88,0,1
64,20,53,1,0
64,38,54,0,1
89,21,30,0,0
66,22,94,1,0
67,36,100,1,0
41,40,34,1,0
37,35,70,0,1
48,41,78,0,1
94,31,65,0,0
47,17,49,1,0
66,38,94,1,0
85,33,71,1,0
80,28,64,0,1
54,38,58,0,1
89,31,68,0,0
51,31,92,1,0
56,26,70,1,0
63,27,85,1,0
31,29,59,0,1
88,35,46,0,0
63,28,96,1,0
44,34,89,0,1
86,42,84,0,0
32,42,37,0,1
38,40,39,0,1
43,30,59,1,0
90,38,87,1,0
56,34,91,0,1
88,41,86,1,0
45,31,44,0,1
34,37,68,1,0
77,35,30,1,0
92,27,37,0,0
94,41,90,1,0
52,30,60,1,0
100,41,89,1,0
44,25,49,0,1
57,39,54,1,0
59,20,39,1,0
66,37,63,0,1
75,26,79,0,1
81,28,100,0,0
62,20,55,1,0
75,29,63,1,0
32,41,33,1,0
64,28,31,1,0
78,26,52,1,0
55,35,54,0,1
71,25,61,0,1
90,42,95,1,0
58,21,51,0,1
37,29,76,0,1
36,24,93,1,0
78,33,66,1,0
69,39,34,1,0
62,41,85,1,0
79,38,58,1,0
73,29,65,1,0
43,35,81,1,0
42,33,51,1,0
37,35,43,1,0
43,29,94,0,1
85,29,84,0,0
35,20,45,0,1
57,33,57,0,1
89,33,51,0,0
51,33,87,0,1
69,33,67,0,1
44,35,48,1,0
35,25,39,0,1
38,25,47,0,1
30,41,90,1,0
80,23,90,1,0
94,24,33,0,0
79,34,71,1,0
76,27,84,1,0
88,21,47,1,0
78,20,74,1,0
52,32,40,0,1
34,32,41,1,0
35,29,88,0,1
52,32,34,0,1
47,18,44,0,1
73,25,64,1,0
54,27,98,1,0
98,20,32,1,0
35,18,46,0,1
94,23,60,1,0
45,24,59,0,1
100,28,87,0,0
73,34,71,0,1
62,18,72,0,1
90,39,64,1,0
71,18,58,1,0
79,31,53,0,1
73,31,90,1,0
86,33,65,0,0
96,35,34,1,0
50,19,41,0,1
77,27,89,0,1
84,37,82,1,0
57,42,72,1,0
85,20,62,1,0
71,25,67,1,0
78,24,96,0,1
62,19,80,0,1
41,40,87,1,0
45,17,49,1,0
75,17,81,1,0
51,25,88,1,0
87,37,38,1,0
96,36,63,0,0
32,42,33,0,1
75,26,47,1,0
83,36,43,0,0
34,31,73,1,0
40,20,68,1,0
49,23,86,0,1
39,19,30,0,1
67,18,73,0,1
97,31,89,1,0
84,23,66,0,0
72,24,37,0,1
59,31,30,1,0
47,38,80,1,0
78,29,59,0,1
32,24,43,0,1
63,21,89,0,1
39,28,99,1,0
31,23,30,0,1
42,31,34,0,1
71,19,59,0,1
80,37,94,0,1
78,23,53,1,0
79,40,90,1,0
30,35,75,0,1
31,31,90,1,0
68,22,67,1,0
83,30,64,0,0
48,24,99,1,0
74,28,76,1,0
83,18,53,1,0
96,25,31,0,0
57,17,62,0,1
34,34,58,1,0
60,22,79,0,1
100,42,89,1,0
35,27,52,0,1
69,18,44,0,1
53,31,63,1,0
85,19,55,1,0
40,22,82,1,0
47,40,88,0,1
48,20,73,1,0
56,18,83,0,1
69,22,49,0,1
38,19,49,1,0
66,27,46,1,0
86,34,72,0,0
69,38,84,1,0
98,34,49,0,0
58,33,57,0,1
80,30,57,1,0
33,19,30,0,1
38,28,99,0,1
50,37,66,1,0
92,32,94,1,0
56,35,67,1,0
41,35,98,1,0
80,20,57,0,1
49,20,86,1,0
36,31,32,0,1
85,31,77,0,0
69,20,61,0,1
36,29,45,0,1
74,26,32,0,1
82,31,48,0,0
44,32,85,0,1
37,42,95,0,1
43,35,48,0,1
32,40,73,0,1
50,28,35,0,1
82,18,92,1,0
33,30,71,0,1
36,26,53,1,0
31,24,86,0,1
58,42,77,0,1
81,26,42,1,0
52,37,31,0,1
58,31,65,1,0
34,18,64,0,1
82,24,93,0,0
48,41,84,1,0
92,41,83,0,0
70,23,48,1,0
79,28,97,1,0
42,37,39,1,0
65,28,65,0,1
91,40,46,1,0
37,30,65,1,0
45,32,56,1,0
60,17,69,1,0
85,20,64,0,0
66,40,91,1,0
85,18,65,1,0
67,35,90,0,1
52,39,35,0,1
71,35,91,1,0
44,42,81,1,0
94,36,34,1,0
79,18,90,1,0
71,26,49,1,0
71,18,98,0,1
95,39,51,0,0
51,32,78,1,0
37,29,40,0,1
94,30,61,1,0
58,23,99,1,0
72,21,57,1,0
41,18,47,1,0
90,34,36,1,0
50,24,99,1,0
41,41,98,1,0
48,41,84,1,0
79,41,91,0,1
94,28,41,1,0
98,31,60,1,0
64,26,30,0,1
44,41,54,1,0
66,35,40,1,0
98,31,91,1,0
31,28,67,0,1
69,34,36,0,1
100,35,91,0,0
49,19,45,1,0
59,30,35,0,1
81,22,46,0,0
72,42,73,1,0
57,38,42,1,0
60,34,37,0,1
41,40,63,0,1
30,35,37,1,0
33,31,84,1,0
52,33,36,0,1
90,21,60,1,0
70,18,55,1,0
54,23,47,1,0
42,40,30,1,0
65,20,51,1,0
99,18,57,1,0
57,23,48,0,1
64,28,83,0,1
56,37,61,0,1
36,34,37,0,1
77,18,75,1,0
100,28,35,0,0
51,28,39,1,0
56,36,78,1,0
73,27,66,1,0
65,27,68,1,0
85,28,64,0,0
95,29,56,1,0
62,36,45,0,1
74,24,47,1,0
85,39,37,1,0
79,32,51,0,1
62,41,96,1,0
56,21,33,0,1
65,36,99,0,1
83,31,57,1,0
85,32,57,0,0
86,35,66,1,0
54,20,97,0,1
41,32,59,0,1
78,31,38,0,1
72,41,93,0,1
54,29,77,0,1
50,36,100,1,0
81,23,59,0,0
67,33,74,0,1
60,39,42,1,0
71,21,71,1,0
86,17,69,1,0
57,18,35,1,0
35,25,72,1,0
90,21,50,1,0
41,36,45,1,0
65,35,77,1,0
72,17,50,1,0
51,32,47,1,0
42,32,98,0,1
74,38,64,0,1
99,28,87,1,0
88,19,41,0,0
62,27,30,0,1
69,18,90,1,0
48,34,42,0,1
36,32,60,1,0
37,42,92,0,1
92,35,66,1,0
83,40,57,1,0
59,23,35,1,0
32,40,95,0,1
44,31,35,1,0
57,25,58,1,0
40,30,94,1,0
40,36,87,1,0
33,24,74,0,1
64,38,98,1,0
86,37,74,0,0
84,24,97,1,0
55,35,57,0,1
68,38,93,1,0
59,38,57,1,0
100,38,62,0,0
33,42,54,1,0
32,39,74,1,0
34,40,69,0,1
70,35,36,0,1
93,18,33,0,0
68,34,47,1,0
76,20,100,1,0
31,17,34,0,1
32,33,59,0,1
53,32,72,0,1
75,24,45,0,1
70,39,93,1,0
47,20,48,0,1
75,29,45,1,0
49,23,98,0,1
87,41,67,1,0
61,21,57,1,0
35,35,62,0,1
84,28,40,1,0
54,42,91,0,1
76,20,81,0,1
67,31,60,1,0
39,32,57,1,0
70,35,42,0,1
54,26,75,1,0
74,17,62,1,0
73,41,71,1,0
66,17,97,1,0
35,41,66,1,0
63,17,78,1,0
46,39,91,0,1
90,38,83,1,0
45,31,38,1,0
57,30,45,0,1
51,18,88,1,0
86,30,48,0,0
50,23,63,0,1
61,41,82,0,1
69,42,41,1,0
55,26,78,0,1
52,31,97,0,1
38,27,69,1,0
77,34,56,1,0
88,19,97,1,0
33,25,37,1,0
89,36,35,1,0
52,21,99,0,1
83,34,30,1,0
55,25,48,1,0
68,23,77,0,1
30,26,67,0,1
98,20,55,0,0
56,36,100,1,0
38,22,93,0,1
51,23,61,0,1
36,20,72,1,0
60,39,63,1,0
89,20,81,1,0
88,41,44,0,0
31,20,56,1,0
61,28,86,0,1
71,30,66,1,0
94,20,70,1,0
99,32,70,1,0
66,29,57,0,1
61,42,65,1,0
96,35,77,0,0
56,35,60,0,1
60,17,37,0,1
37,37,47,1,0
77,23,30,1,0
93,25,39,0,0
73,35,51,0,1
55,33,51,0,1
76,20,46,0,1
32,28,68,1,0
85,23,35,1,0
54,17,42,0,1
96,34,78,0,0
74,36,82,1,0
35,34,95,1,0
60,41,31,1,0
63,19,56,1,0
50,18,67,0,1
32,31,100,1,0
54,39,86,0,1
41,18,92,0,1
52,22,54,1,0
92,19,42,1,0
75,30,43,1,0
72,37,82,1,0
69,24,48,0,1
76,41,62,1,0
85,26,49,0,0
48,26,95,1,0
53,40,82,0,1
57,40,36,0,1
89,31,30,1,0
71,19,73,1,0
51,37,88,0,1
78,40,85,0,1
58,25,38,0,1
55,29,82,1,0
76,24,89,0,1
61,19,96,0,1
40,26,94,1,0
36,39,95,0,1
71,31,71,0,1
36,42,99,0,1
68,26,83,0,1
91,36,74,1,0
52,27,69,0,1
92,28,57,0,0
95,38,36,0,0
69,25,79,1,0
92,36,83,1,0
47,19,40,0,1
56,26,61,0,1
61,17,38,0,1
64,20,44,0,1
75,41,34,0,1
46,23,61,1,0
40,35,44,0,1
77,18,55,1,0
93,30,34,1,0
36,29,61,0,1
74,39,99,0,1
43,26,66,0,1
68,22,67,0,1
66,20,50,0,1
58,17,84,0,1
37,36,72,1,0
68,21,87,1,0
33,27,90,0,1
52,41,83,0,1
49,24,46,0,1
41,33,47,0,1
94,20,75,1,0
40,38,67,0,1
81,20,85,0,0
50,40,54,1,0
99,20,36,0,0
41,25,77,1,0
38,23,54,1,0
34,37,42,0,1
70,25,96,0,1
60,37,69,1,0
86,31,93,1,0
86,29,53,1,0
32,23,77,1,0
100,18,90,1,0
50,26,32,1,0
86,39,85,1,0
70,39,37,1,0
93,18,83,0,0
36,41,31,1,0
39,17,93,0,1
73,31,47,1,0
43,30,88,0,1
96,27,90,1,0
46,38,70,0,1
91,37,91,1,0
73,33,94,1,0
98,26,98,1,0
33,28,58,0,1
72,20,79,0,1
93,31,81,1,0
61,17,55,0,1
30,17,37,0,1
52,41,58,1,0
71,37,91,1,0
96,33,52,0,0
57,17,43,0,1
55,32,34,1,0
83,20,72,1,0
32,40,67,0,1
80,29,36,0,1
89,26,97,1,0
91,33,41,0,0
86,38,67,1,0
35,17,52,0,1
90,23,76,1,0
38,33,53,1,0
30,39,68,0,1
81,42,100,1,0
64,31,41,1,0
63,22,64,1,0
42,37,34,1,0
87,23,58,1,0
47,17,52,1,0
100,30,62,0,0
99,30,100,1,0
55,41,47,1,0
98,17,71,1,0
40,30,97,0,1
56,40,43,1,0
83,28,71,0,0
91,30,43,0,0
85,27,30,1,0
46,38,66,0,1
77,39,63,0,1
46,26,60,0,1
50,24,93,1,0
72,40,72,0,1
54,40,84,1,0
52,22,79,0,1
59,19,74,0,1
92,31,53,1,0
68,27,64,1,0
41,26,33,1,0
71,42,71,1,0
76,23,80,0,1
86,41,46,0,0
79,36,93,1,0
37,29,68,0,1
99,39,36,1,0
97,33,65,1,0
59,36,32,1,0
97,22,37,1,0
32,27,54,1,0
92,35,79,1,0
31,30,43,0,1
45,38,65,0,1
33,21,78,1,0
67,27,61,1,0
97,24,56,1,0
34,37,60,1,0
66,17,90,0,1
80,39,91,0,1
98,20,98,0,0
70,18,34,1,0
49,27,76,1,0
89,38,88,1,0
45,42,46,1,0
71,37,93,1,0
41,30,84,1,0
97,42,39,1,0
86,33,78,0,0
62,36,41,0,1
82,40,62,0,0
36,33,65,1,0
52,29,77,0,1
89,34,73,0,0
60,34,68,0,1
46,25,78,1,0
69,39,40,1,0
89,38,34,1,0
77,42,66,0,1
55,17,69,1,0
56,32,50,1,0
33,34,79,0,1
63,32,59,0,1
35,33,42,0,1
61,41,71,0,1
47,36,62,0,1
88,36,39,0,0
31,41,56,1,0
58,19,91,1,0
61,37,90,1,0
78,29,32,0,1
91,24,81,1,0
74,25,91,1,0
97,25,45,1,0
79,40,53,1,0
62,40,49,1,0
94,40,53,1,0
90,28,40,1,0
54,40,67,0,1
100,18,99,1,0
62,24,30,0,1
52,42,83,1,0
43,27,47,1,0
88,18,71,0,0
74,38,93,0,1
53,26,38,1,0
64,18,54,1,0
30,42,62,0,1
63,22,80,0,1
95,26,65,0,0
65,23,31,0,1
30,23,82,1,0
40,37,83,1,0
47,27,67,0,1
31,27,70,0,1
53,38,97,0,1
37,29,43,0,1
69,22,62,0,1
100,32,37,1,0
35,17,98,1,0
41,22,88,0,1
52,29,66,0,1
87,21,90,0,0
69,17,43,1,0
30,25,89,0,1
53,29,98,0,1
75,22,42,0,1
79,34,51,0,1
71,35,63,0,1
72,38,33,1,0
93,37,89,0,0
100,30,31,1,0
95,19,59,0,0
32,37,63,1,0
75,28,49,0,1
74,42,57,1,0
60,36,73,1,0
72,38,94,1,0
72,29,36,0,1
89,24,97,1,0
52,25,72,1,0
83,22,93,1,0
56,18,81,0,1
70,19,79,1,0
40,31,59,1,0
63,41,32,1,0
77,19,53,1,0
67,17,49,0,1
88,34,44,0,0
94,34,57,1,0
44,27,64,0,1
72,34,69,0,1
68,35,78,1,0
95,34,94,1,0
54,36,100,1,0
74,21,33,0,1
71,41,67,0,1
82,32,35,0,0
89,34,94,0,0
51,22,67,0,1
63,39,59,0,1
85,39,80,0,0
60,38,65,0,1
91,18,49,0,0
76,42,46,0,1
39,32,37,0,1
73,34,83,1,0
70,29,40,0,1
96,27,98,0,0
86,24,78,0,0
51,25,90,0,1
82,23,37,1,0
32,41,47,0,1
87,18,40,1,0
33,28,58,0,1
80,38,74,1,0
45,20,50,0,1
36,39,49,0,1
33,20,35,1,0
66,19,74,0,1
96,29,91,1,0
97,29,82,1,0
93,26,41,1,0
86,39,52,1,0
70,21,50,1,0
83,26,65,1,0
92,32,75,1,0
96,29,60,0,0
60,25,67,0,1
60,41,54,0,1
40,36,97,0,1
58,33,44,0,1
77,40,63,1,0
49,21,58,0,1
34,24,78,1,0
39,39,63,0,1
77,20,96,1,0
99,26,57,1,0
42,24,58,0,1
86,40,49,1,0
95,26,84,1,0
66,25,59,1,0
57,27,52,0,1
31,30,77,0,1
93,25,37,0,0
32,18,89,0,1
45,22,37,1,0
67,23,68,0,1
35,40,47,1,0
32,24,93,0,1
82,28,46,0,0
34,17,72,1,0
50,38,39,1,0
82,35,89,1,0
40,41,91,0,1
86,23,59,0,0
95,28,61,0,0
59,34,96,1,0
74,20,34,0,1
96,18,94,0,0
78,28,46,0,1
40,20,51,0,1
48,33,34,0,1
56,23,65,0,1
76,25,100,1,0
57,42,72,0,1
81,23,36,1,0
32,41,66,0,1
76,37,42,0,1
96,22,100,1,0
34,24,53,0,1
93,40,59,1,0
37,26,50,0,1
31,17,70,1,0
88,28,51,0,0
48,32,33,0,1
31,25,80,1,0
51,23,80,1,0
71,17,75,1,0
55,38,51,1,0
62,33,95,1,0
76,38,39,0,1
99,40,76,0,0
84,20,41,1,0
86,32,30,0,0
62,36,51,1,0
70,38,57,0,1
97,35,39,1,0
78,22,97,0,1
95,31,71,1,0
34,26,34,0,1
53,26,63,0,1
45,29,44,1,0
64,28,31,0,1
36,26,48,1,0
83,18,90,0,0
60,37,89,1,0
50,42,54,1,0
40,29,83,1,0
87,36,41,0,0
53,37,85,1,0
60,37,44,1,0
45,19,50,1,0
93,22,51,0,0
76,27,94,0,1
45,35,89,0,1
57,38,44,0,1
52,25,56,1,0
71,22,34,0,1
44,33,71,1,0
98,38,80,1,0
71,30,35,0,1
98,35,96,0,0
54,29,93,0,1
49,33,35,1,0
42,39,98,0,1
84,17,64,1,0
97,35,47,0,0
87,18,98,1,0
88,27,77,0,0
71,37,87,1,0
42,24,98,0,1
97,26,53,0,0
50,24,75,1,0
55,23,92,0,1
45,23,38,1,0
30,41,71,1,0
78,27,44,0,1
81,25,89,0,0
94,33,93,1,0
63,33,58,0,1
35,31,31,1,0
86,28,99,1,0
42,27,79,0,1
66,37,59,1,0
58,39,72,0,1
71,28,48,0,1
74,35,63,1,0
34,29,94,0,1
51,29,82,1,0
93,41,31,1,0
50,41,59,0,1
89,34,85,0,0
89,34,73,1,0
32,24,93,0,1
53,35,41,1,0
75,20,91,1,0
42,42,51,0,1
46,30,61,0,1
75,38,54,0,1
59,18,55,0,1
32,22,83,1,0
87,23,80,0,0
72,26,56,1,0
64,34,61,0,1
59,32,84,0,1
40,34,86,0,1
72,27,95,0,1
49,24,43,0,1
91,39,36,1,0
31,31,46,1,0
51,22,40,0,1
90,31,74,1,0
49,34,44,1,0
58,25,71,1,0
42,25,48,0,1
76,19,98,1,0
71,27,63,0,1
96,35,71,1,0
56,22,54,1,0
69,23,57,1,0
39,29,80,1,0
84,26,70,0,0
39,37,97,0,1
88,27,95,1,0
61,30,93,0,1
60,17,99,1,0
81,35,42,1,0
69,40,39,1,0
82,24,86,1,0
75,40,75,0,1
59,17,63,0,1
60,40,31,0,1
76,25,31,1,0
57,35,97,1,0
37,35,41,1,0
31,22,62,0,1
41,36,57,1,0
61,42,40,1,0
96,39,96,1,0
89,19,77,1,0
94,35,95,1,0
51,21,82,0,1
32,18,91,1,0
84,35,31,0,0
97,29,59,0,0
87,41,79,1,0
58,35,38,1,0
83,25,40,1,0
47,29,57,1,0
52,21,30,1,0
81,18,78,0,0
92,27,76,1,0
65,36,40,0,1
65,23,93,1,0
30,32,95,0,1
31,26,84,1,0
34,35,42,0,1
55,21,35,1,0
80,22,82,0,1
57,23,99,0,1
31,31,87,0,1
50,33,72,0,1
91,20,63,0,0
76,17,89,0,1
66,17,40,1,0
42,22,48,0,1
86,28,68,1,0
62,21,52,0,1
55,22,51,0,1
64,40,42,1,0
78,33,62,0,1
97,39,52,1,0
79,21,42,1,0
96,32,62,0,0
63,17,51,0,1
64,26,90,1,0
83,35,38,0,0
41,39,57,0,1
66,17,44,1,0
33,17,68,1,0
67,19,88,0,1
61,18,94,0,1
41,33,45,1,0
41,40,95,1,0
96,34,67,0,0
40,36,38,1,0
43,18,63,1,0
48,23,71,1,0
70,40,32,1,0
97,39,72,1,0
79,40,39,1,0
49,21,90,1,0
73,37,66,0,1
78,18,97,1,0
59,40,69,0,1
48,32,90,0,1
100,29,41,0,0
85,38,79,0,0
78,26,43,1,0
30,19,87,1,0
95,32,34,1,0
68,41,49,1,0
93,34,93,1,0
69,33,81,1,0
30,30,61,1,0
68,28,66,1,0
90,18,58,1,0
59,22,80,0,1
60,31,92,1,0
67,27,57,1,0
68,19,32,1,0
69,24,63,0,1
53,41,46,0,1
79,39,60,0,1
89,22,30,0,0
75,17,49,1,0
83,31,43,0,0
66,36,45,1,0
98,27,71,1,0
98,41,82,1,0
42,27,91,1,0
80,33,53,0,1
36,21,89,0,1
64,25,52,1,0
61,42,71,1,0
53,23,99,1,0
32,34,79,0,1
58,41,43,1,0
91,26,84,1,0
98,26,56,0,0
80,21,92,0,1
56,26,91,1,0
44,32,77,0,1
86,35,37,0,0
74,41,75,0,1
78,25,56,1,0
96,36,34,0,0
71,34,32,1,0
44,18,48,0,1
90,34,86,0,0
45,20,60,1,0
31,24,64,1,0
94,41,32,0,0
67,38,40,0,1
32,33,89,0,1
30,31,82,1,0
70,17,86,0,1
83,32,31,1,0
90,26,67,1,0
67,20,66,0,1
98,36,35,1,0
61,19,45,1,0
38,27,97,1,0
93,22,39,0,0
59,22,95,0,1
94,41,62,1,0
48,18,91,1,0
99,35,91,0,0
45,35,45,1,0
48,38,96,1,0
41,32,48,1,0
33,30,88,1,0
71,40,95,1,0
85,35,79,1,0
93,18,53,1,0
85,40,80,1,0
99,21,91,0,0
70,32,42,1,0
36,36,47,1,0
80,37,96,0,1
48,22,41,0,1
59,26,95,0,1
71,18,92,1,0
86,31,99,1,0
56,41,30,0,1
52,40,30,1,0
54,35,60,0,1
61,35,37,1,0
77,41,89,1,0
80,37,61,1,0
87,38,50,1,0
30,23,77,1,0
80,23,66,0,1
70,23,87,1,0
71,35,88,0,1
32,19,68,0,1
93,35,100,1,0
75,42,74,0,1
39,17,77,0,1
33,21,87,1,0
39,38,58,1,0
55,19,45,1,0
59,34,90,1,0
73,22,60,1,0
66,42,64,0,1
73,19,61,0,1
73,32,89,1,0
83,33,95,0,0
75,40,46,1,0
43,18,36,1,0
88,42,43,0,0
47,18,91,1,0
91,38,89,1,0
55,25,48,0,1
34,33,69,0,1
39,28,31,1,0
74,35,31,1,0
95,38,57,0,0
70,23,46,0,1
90,38,53,1,0
88,40,83,1,0
69,28,37,0,1
56,31,55,0,1
61,42,89,1,0
39,21,100,1,0
88,42,62,1,0
66,28,48,1,0
31,36,89,0,1
52,38,99,1,0
82,35,52,0,0
46,22,85,0,1
39,18,32,1,0
54,30,52,1,0
33,39,75,1,0
96,29,83,1,0
81,23,93,0,0
70,35,35,1,0
70,39,90,0,1
73,18,78,0,1
69,17,68,1,0
43,39,77,0,1
47,25,100,1,0
85,19,93,1,0
98,25,33,0,0
45,42,65,1,0
84,17,32,1,0
39,31,46,0,1
42,29,99,0,1
94,36,60,0,0
57,35,91,1,0
77,18,74,0,1
65,39,92,0,1
32,26,73,0,1
48,37,74,1,0
66,19,74,0,1
93,35,53,0,0
60,27,36,0,1
77,38,38,1,0
94,19,76,1,0
50,32,48,0,1
98,42,31,0,0
60,21,38,1,0
82,21,45,0,0
37,19,85,1,0
84,21,58,1,0
98,38,63,1,0
34,35,82,0,1
48,22,48,1,0
69,41,44,1,0
77,22,77,1,0
85,39,79,1,0
64,36,91,0,1
78,24,63,1,0
53,35,88,0,1
94,24,80,0,0
60,42,56,0,1
100,25,92,0,0
98,41,84,1,0
42,22,75,1,0
87,37,100,1,0
38,41,88,0,1
41,28,91,0,1
55,37,46,1,0
57,35,44,0,1
94,32,38,0,0
76,34,65,0,1
73,25,71,1,0
62,24,64,0,1
95,25,32,0,0
52,24,34,1,0
56,42,66,0,1
59,28,32,1,0
69,36,90,0,1
65,31,61,0,1
35,32,45,1,0
41,42,88,1,0
62,20,93,0,1
87,21,84,0,0
55,42,59,1,0
32,19,99,0,1
75,36,76,1,0
95,24,60,1,0
84,39,48,1,0
36,22,36,0,1
44,29,97,0,1
93,42,31,1,0
46,41,78,1,0
43,30,46,1,0
35,36,86,1,0
93,21,77,1,0
40,36,99,1,0
58,34,80,0,1
100,39,78,0,0
37,25,30,1,0
74,19,72,1,0
54,32,97,0,1
74,26,72,0,1
49,24,33,1,0
67,17,58,1,0
70,42,49,0,1
99,27,80,1,0
47,37,32,0,1
69,27,83,0,1
37,34,95,0,1
65,40,62,1,0
56,38,63,1,0
51,27,70,1,0
62,42,87,0,1
42,18,91,0,1
49,32,45,1,0
51,26,95,1,0
63,23,33,0,1
88,26,51,1,0
99,25,31,0,0
65,23,77,1,0
68,35,88,0,1
67,31,84,1,0
96,41,64,1,0
37,24,70,0,1
64,38,83,0,1
32,38,55,0,1
97,22,42,0,0
96,40,39,0,0
76,35,52,1,0
60,38,55,1,0
100,27,84,0,0
47,17,50,1,0
87,22,66,0,0
93,42,63,1,0
31,42,43,1,0
81,26,98,0,0
82,24,80,0,0
71,41,74,1,0
45,24,50,1,0
52,23,68,0,1
90,21,81,1,0
41,29,67,1,0
95,36,72,1,0
93,17,78,1,0
34,31,46,1,0
69,28,55,1,0
30,36,77,0,1
31,33,92,0,1
99,28,44,1,0
88,41,71,0,0
71,23,39,1,0
31,42,96,1,0
78,30,87,0,1
61,19,89,1,0
40,29,40,1,0
69,32,39,1,0
