Moisture_Level,Is_Rainy,temperature_C,humidity,Reduce_Water
34,32,84,0,1
63,18,92,1,0
56,23,34,1,0
67,41,96,1,0
94,22,55,1,0
81,34,52,1,0
98,34,73,0,0
47,42,63,1,0
54,34,30,1,0
33,17,46,0,1
61,19,72,0,1
36,32,38,0,1
84,27,97,1,0
48,26,100,1,0
74,35,65,0,0
80,32,51,0,0
45,28,55,1,0
96,25,66,1,0
39,19,59,0,1
56,23,40,1,0
59,41,55,1,0
65,33,40,0,1
70,34,42,1,0
52,42,84,1,0
84,26,64,1,0
78,22,75,0,0
59,27,61,1,0
63,22,69,1,0
95,27,85,1,0
67,38,60,1,0
90,25,65,1,0
65,35,55,0,1
59,30,71,1,0
48,35,60,0,1
90,31,99,0,0
73,29,55,0,0
87,39,80,0,0
80,17,38,0,0
83,20,81,1,0
85,40,48,1,0
80,32,64,1,0
69,40,88,1,0
72,17,30,0,0
65,35,51,1,0
77,20,89,0,0
74,23,75,0,0
80,27,96,1,0
48,32,47,1,0
74,24,46,1,0
50,17,31,0,1
51,23,62,1,0
42,32,98,1,0
32,33,64,0,1
94,33,42,0,0
31,40,92,1,0
67,19,32,1,0
51,30,76,0,1
35,37,64,0,1
66,32,94,0,1
90,30,80,1,0
69,19,75,1,0
84,20,98,1,0
79,34,41,0,0
98,21,81,1,0
55,27,63,0,1
100,21,46,0,0
59,40,78,0,1
80,40,97,1,0
38,35,66,0,1
52,19,49,0,1
75,26,72,0,0
53,27,91,1,0
65,31,78,1,0
69,21,38,0,1
84,23,59,1,0
95,38,60,1,0
76,34,52,0,0
64,35,32,0,1
90,20,35,1,0
42,18,80,0,1
82,28,59,0,0
39,20,84,1,0
66,20,82,0,1
87,42,55,1,0
100,36,76,0,0
58,29,56,0,1
38,22,50,0,1
73,34,34,0,0
66,31,69,1,0
81,37,93,1,0
90,37,66,1,0
78,20,71,1,0
83,30,69,0,0
95,30,60,0,0
40,20,51,1,0
41,21,81,0,1
36,37,37,0,1
39,41,93,0,1
38,35,65,0,1
62,24,84,0,1
47,26,69,1,0
74,19,68,1,0
35,36,80,0,1
94,41,45,1,0
86,41,66,0,0
75,38,68,1,0
69,26,62,1,0
31,33,61,0,1
87,27,86,1,0
91,19,89,1,0
53,31,58,1,0
95,35,45,0,0
86,37,31,1,0
89,23,84,0,0
31,41,65,0,1
47,28,87,1,0
73,28,60,1,0
68,34,64,0,1
30,32,56,1,0
82,37,91,0,0
76,18,40,1,0
78,26,78,0,0
54,41,45,1,0
89,17,45,0,0
46,30,87,0,1
42,38,31,1,0
55,41,86,1,0
65,33,86,1,0
95,32,63,0,0
93,38,71,0,0
54,19,62,1,0
64,31,44,1,0
78,28,62,1,0
92,40,84,1,0
39,40,64,0,1
60,37,33,1,0
97,32,52,0,0
34,26,68,0,1
59,35,42,0,1
64,31,98,1,0
31,18,55,0,1
46,33,88,1,0
50,19,41,1,0
80,31,75,1,0
77,42,72,0,0
34,23,82,1,0
75,28,52,0,0
52,34,53,1,0
66,18,81,1,0
63,20,48,1,0
37,17,91,0,1
45,32,98,0,1
77,20,41,1,0
62,22,95,0,1
60,20,97,0,1
62,24,72,1,0
44,42,51,1,0
69,40,99,1,0
97,28,59,0,0
59,25,56,1,0
79,30,90,0,0
45,35,59,1,0
63,37,91,1,0
37,17,48,0,1
96,31,69,0,0
65,30,88,0,1
65,40,96,0,1
55,42,97,0,1
91,20,98,1,0
36,31,92,1,0
97,26,37,0,0
58,27,67,1,0
96,27,95,0,0
82,17,47,1,0
53,18,42,0,1
45,39,74,0,1
54,29,76,0,1
67,31,96,1,0
88,27,56,0,0
100,23,86,1,0
70,23,33,0,1
91,32,98,1,0
68,40,97,1,0
68,34,85,0,1
58,29,31,1,0
80,28,74,1,0
51,23,94,0,1
33,18,71,1,0
99,28,46,1,0
73,22,65,0,0
53,25,35,1,0
62,34,92,1,0
49,27,69,1,0
62,33,77,1,0
79,39,100,0,0
38,23,79,1,0
77,17,75,1,0
99,19,64,1,0
39,33,77,0,1
89,19,68,1,0
55,41,81,0,1
43,31,68,1,0
35,38,47,1,0
88,36,59,0,0
56,37,98,1,0
95,31,78,1,0
61,39,65,0,1
56,20,47,1,0
74,23,45,1,0
62,25,46,1,0
58,41,71,1,0
74,32,68,1,0
99,22,43,0,0
67,36,57,0,1
67,39,59,1,0
57,37,66,1,0
66,22,54,0,1
63,26,73,1,0
32,37,31,1,0
75,39,59,0,0
36,34,70,0,1
70,36,94,0,1
60,35,76,1,0
61,39,61,1,0
83,17,81,1,0
52,35,54,1,0
77,34,99,0,0
53,42,51,0,1
60,20,86,1,0
40,21,98,1,0
52,17,99,0,1
87,17,89,1,0
98,42,97,0,0
35,18,97,1,0
43,27,73,1,0
87,41,51,0,0
73,31,78,0,0
42,41,62,1,0
74,17,33,0,0
30,26,88,0,1
63,24,97,1,0
75,31,80,0,0
49,22,88,1,0
72,24,97,1,0
40,23,45,0,1
79,29,35,0,0
97,30,39,0,0
68,26,49,0,1
46,33,88,0,1
87,23,80,0,0
54,25,35,1,0
34,25,45,1,0
33,38,63,1,0
49,33,96,1,0
65,42,63,0,1
59,37,98,0,1
95,42,86,0,0
31,20,36,0,1
44,22,68,0,1
70,20,75,1,0
72,39,79,0,0
71,23,91,1,0
99,36,86,1,0
39,24,71,1,0
68,31,74,1,0
98,26,84,1,0
42,34,48,1,0
96,38,38,1,0
86,18,37,0,0
40,32,68,0,1
83,18,69,1,0
99,39,99,0,0
41,28,33,0,1
99,22,36,1,0
93,24,64,0,0
31,25,92,0,1
43,33,91,0,1
85,20,36,0,0
42,41,42,0,1
37,39,43,0,1
51,30,66,1,0
38,25,100,0,1
30,30,80,1,0
61,20,31,1,0
61,32,45,0,1
89,32,32,1,0
98,24,100,0,0
100,27,72,0,0
67,29,77,1,0
72,22,53,1,0
80,28,71,1,0
45,31,37,1,0
88,31,64,0,0
75,30,88,0,0
81,31,66,1,0
88,26,93,0,0
58,33,45,1,0
92,41,57,0,0
94,36,59,1,0
42,29,93,1,0
69,32,33,1,0
45,34,39,1,0
36,35,65,0,1
33,28,68,0,1
98,41,42,1,0
98,34,66,1,0
46,32,77,1,0
54,39,50,0,1
50,34,33,0,1
84,40,35,1,0
81,24,43,1,0
93,33,35,1,0
82,40,51,0,0
85,28,66,0,0
76,26,79,0,0
77,21,39,1,0
95,23,47,0,0
55,35,95,0,1
60,26,51,1,0
83,31,96,0,0
61,27,68,0,1
73,40,61,1,0
30,26,30,0,1
88,18,49,0,0
75,31,69,1,0
48,29,92,0,1
54,33,79,1,0
85,37,83,0,0
87,29,31,1,0
58,33,70,0,1
94,33,67,0,0
81,29,88,0,0
33,41,93,0,1
96,27,32,1,0
57,29,100,0,1
30,32,57,0,1
45,18,66,0,1
38,42,92,1,0
59,23,38,1,0
88,21,81,0,0
89,41,47,0,0
60,24,41,0,1
44,41,39,0,1
90,18,87,1,0
84,23,72,0,0
55,38,94,1,0
30,23,100,1,0
45,32,71,0,1
96,22,47,1,0
92,35,61,0,0
90,20,94,1,0
100,27,38,0,0
34,18,40,0,1
38,32,40,1,0
72,29,93,1,0
40,21,51,1,0
87,21,38,0,0
60,34,99,0,1
65,30,47,0,1
32,42,85,1,0
75,24,77,0,0
59,33,51,0,1
60,40,89,0,1
96,21,77,0,0
51,19,79,0,1
51,24,36,0,1
73,36,33,1,0
96,23,94,0,0
69,21,39,0,1
43,41,73,0,1
69,26,36,1,0
48,26,98,0,1
94,20,96,1,0
56,32,93,0,1
68,39,96,1,0
75,41,85,0,0
68,41,92,1,0
76,20,75,0,0
77,28,84,0,0
80,18,46,1,0
33,42,70,0,1
87,27,57,1,0
88,28,68,1,0
49,34,84,0,1
32,39,43,0,1
75,40,38,0,0
89,33,70,1,0
70,24,66,0,1
100,17,97,0,0
81,22,41,1,0
58,19,68,1,0
52,31,91,0,1
50,28,48,1,0
34,37,93,1,0
33,29,40,0,1
45,37,94,0,1
92,18,93,1,0
97,22,49,1,0
47,37,93,0,1
97,17,48,1,0
79,26,80,0,0
87,20,53,0,0
99,40,31,0,0
72,27,76,1,0
58,25,47,1,0
99,26,34,1,0
78,42,73,0,0
40,40,69,0,1
46,30,95,0,1
85,30,72,1,0
74,37,66,0,0
52,42,47,0,1
33,21,91,1,0
83,34,79,0,0
59,27,72,0,1
94,28,37,0,0
82,20,48,0,0
71,25,99,0,0
97,38,89,0,0
32,41,60,0,1
87,26,96,0,0
62,31,49,1,0
85,32,98,1,0
98,19,36,0,0
89,18,81,1,0
71,38,65,0,0
93,41,70,1,0
74,41,74,1,0
72,32,100,0,0
44,22,85,0,1
99,21,55,1,0
97,29,99,1,0
38,25,93,1,0
96,40,100,0,0
85,18,44,1,0
81,32,36,1,0
47,35,79,0,1
84,22,76,1,0
72,21,96,0,0
83,26,94,1,0
81,18,67,1,0
66,36,84,0,1
58,27,43,1,0
45,25,67,1,0
60,17,31,0,1
78,32,76,1,0
100,27,30,0,0
37,26,80,0,1
100,36,72,0,0
46,36,62,1,0
63,31,41,1,0
38,39,32,0,1
61,27,37,1,0
42,26,96,1,0
39,35,99,0,1
49,38,75,0,1
63,39,97,0,1
96,38,59,1,0
95,38,47,1,0
94,20,58,0,0
79,40,85,0,0
58,35,75,1,0
69,27,42,1,0
32,17,42,1,0
80,21,62,0,0
96,26,94,1,0
41,36,91,1,0
81,35,77,1,0
36,36,46,0,1
33,18,31,1,0
45,21,50,1,0
93,19,96,1,0
74,27,70,0,0
90,32,81,1,0
94,23,71,1,0
93,29,68,0,0
38,23,44,0,1
35,21,48,0,1
79,25,33,1,0
52,29,57,1,0
68,26,87,1,0
81,35,56,1,0
77,42,36,0,0
91,40,55,1,0
71,30,71,1,0
69,33,33,0,1
64,42,48,0,1
91,28,77,0,0
59,41,33,1,0
85,33,93,1,0
98,18,68,1,0
44,26,61,0,1
75,36,31,0,0
61,34,48,0,1
49,17,98,0,1
44,19,79,0,1
80,22,53,1,0
46,42,66,0,1
86,29,74,0,0
43,34,86,1,0
73,37,54,1,0
93,21,43,0,0
33,39,40,0,1
52,28,67,0,1
63,22,48,1,0
58,22,92,1,0
59,38,67,0,1
61,22,93,0,1
43,21,61,0,1
100,17,56,0,0
78,41,31,1,0
42,25,69,1,0
58,33,64,0,1
68,21,55,1,0
74,35,46,1,0
44,17,49,1,0
38,27,38,0,1
53,39,45,0,1
53,18,73,0,1
91,33,52,1,0
65,33,37,1,0
73,33,84,1,0
46,30,68,0,1
50,34,94,0,1
76,20,86,0,0
96,40,74,1,0
39,24,53,1,0
64,33,79,1,0
56,28,91,0,1
57,32,90,1,0
35,38,97,0,1
97,27,78,0,0
80,20,61,0,0
59,17,90,1,0
75,30,49,1,0
36,21,80,1,0
33,34,100,1,0
75,24,36,0,0
31,31,41,1,0
80,38,79,1,0
50,21,55,0,1
87,42,59,0,0
89,24,79,1,0
77,41,76,0,0
32,19,52,1,0
91,25,48,0,0
48,22,45,0,1
33,29,36,1,0
68,18,33,0,1
71,30,76,0,0
87,27,57,1,0
48,25,82,0,1
39,41,100,1,0
75,23,77,0,0
46,39,65,1,0
76,42,94,1,0
79,36,53,0,0
87,18,68,1,0
79,22,31,1,0
100,22,83,0,0
64,37,84,0,1
82,42,45,0,0
68,24,67,0,1
52,21,41,1,0
41,27,35,0,1
91,35,39,0,0
31,29,89,0,1
75,37,47,1,0
95,42,56,0,0
49,35,41,1,0
44,27,60,1,0
74,34,35,1,0
85,24,65,1,0
31,38,55,1,0
88,17,100,0,0
71,33,46,1,0
60,30,98,0,1
63,38,79,0,1
100,33,54,0,0
63,27,74,0,1
54,17,70,0,1
38,36,68,0,1
91,34,67,1,0
78,36,65,0,0
50,28,96,0,1
68,37,55,1,0
82,32,91,1,0
87,23,70,0,0
91,31,50,1,0
38,34,43,1,0
39,24,42,0,1
92,33,86,1,0
97,18,41,1,0
48,28,53,0,1
77,27,86,0,0
33,21,37,1,0
55,20,40,1,0
33,28,44,0,1
42,26,43,0,1
91,21,62,1,0
67,21,97,1,0
91,42,44,0,0
36,35,91,1,0
85,19,43,1,0
57,27,66,1,0
48,26,63,0,1
35,36,97,1,0
84,23,71,0,0
63,42,40,0,1
37,17,92,0,1
34,24,61,0,1
98,25,50,1,0
50,27,34,0,1
62,40,97,0,1
100,22,63,0,0
90,18,34,0,0
89,17,54,0,0
96,39,75,1,0
93,26,38,0,0
53,41,49,1,0
96,40,79,1,0
61,39,97,1,0
66,25,78,0,1
83,25,46,0,0
94,18,56,1,0
37,26,55,0,1
62,22,45,1,0
97,42,92,0,0
66,31,35,1,0
71,32,49,1,0
47,24,79,0,1
67,35,92,1,0
50,19,91,1,0
47,42,79,0,1
66,36,58,0,1
100,18,54,1,0
74,37,34,1,0
31,22,90,0,1
30,32,98,1,0
91,25,98,0,0
58,24,48,0,1
84,34,59,1,0
37,20,48,1,0
43,24,30,0,1
56,35,86,1,0
34,25,34,0,1
35,26,33,1,0
80,29,52,1,0
81,22,99,1,0
39,36,31,0,1
64,18,44,1,0
71,41,44,1,0
54,22,56,0,1
98,26,94,0,0
73,20,71,1,0
72,28,79,0,0
48,39,77,0,1
59,18,50,1,0
45,33,55,0,1
82,39,49,1,0
65,32,92,0,1
58,19,97,0,1
79,27,77,0,0
95,21,39,1,0
96,18,36,1,0
53,18,44,1,0
71,36,57,1,0
50,37,64,0,1
75,20,82,1,0
53,18,73,0,1
89,31,54,1,0
31,29,83,1,0
68,34,47,1,0
34,37,80,0,1
71,25,31,1,0
76,31,72,1,0
32,41,64,0,1
35,20,93,0,1
100,33,59,0,0
83,22,89,1,0
79,19,33,0,0
75,17,32,1,0
88,30,42,1,0
49,40,95,1,0
60,28,36,0,1
77,36,42,0,0
95,42,92,0,0
81,18,92,1,0
42,31,62,1,0
81,21,88,0,0
34,33,65,1,0
54,36,30,0,1
37,18,52,0,1
74,37,48,1,0
36,25,66,0,1
90,31,63,1,0
85,29,54,1,0
44,26,65,0,1
76,19,63,0,0
65,30,93,1,0
80,27,97,0,0
84,20,55,0,0
97,35,72,1,0
98,33,90,0,0
56,18,93,1,0
87,42,90,1,0
47,31,79,0,1
36,30,37,0,1
31,18,54,1,0
64,24,47,1,0
55,27,99,1,0
57,34,91,0,1
30,18,45,0,1
79,35,83,0,0
41,42,54,1,0
90,32,77,0,0
58,37,47,1,0
83,36,30,0,0
75,28,33,1,0
84,30,99,1,0
74,25,41,0,0
71,30,68,1,0
56,19,59,0,1
92,29,43,1,0
36,24,98,1,0
95,24,58,0,0
95,30,55,1,0
71,20,50,1,0
72,41,55,1,0
67,20,62,0,1
32,20,37,0,1
50,18,98,0,1
62,30,52,0,1
67,27,75,0,1
67,17,37,1,0
66,38,56,0,1
55,26,35,1,0
87,38,81,1,0
86,39,88,1,0
61,21,61,1,0
83,33,58,1,0
82,28,80,1,0
67,22,78,1,0
91,27,79,1,0
90,34,60,0,0
45,27,86,1,0
86,33,74,0,0
43,29,65,1,0
57,20,30,0,1
80,21,82,1,0
75,24,34,0,0
91,35,97,1,0
59,41,56,1,0
45,37,40,1,0
62,41,85,0,1
92,23,63,0,0
54,40,35,1,0
87,37,54,0,0
57,25,73,0,1
66,19,78,1,0
71,19,66,1,0
55,37,33,0,1
59,37,100,0,1
53,27,43,0,1
81,19,65,1,0
53,18,99,1,0
43,36,32,1,0
90,36,97,1,0
94,36,64,1,0
31,21,79,1,0
91,31,82,1,0
70,41,91,1,0
67,32,96,0,1
30,25,88,1,0
71,25,85,1,0
93,30,31,1,0
40,29,54,0,1
72,21,82,1,0
79,17,91,1,0
62,28,94,1,0
80,39,67,0,0
67,18,61,0,1
88,24,37,0,0
96,30,87,0,0
51,22,57,1,0
75,28,97,1,0
92,25,31,0,0
46,40,90,1,0
32,37,65,1,0
40,29,87,1,0
55,24,78,1,0
48,41,43,1,0
60,18,34,0,1
98,42,40,0,0
39,37,53,1,0
42,37,92,1,0
57,33,92,1,0
93,39,97,1,0
56,22,36,1,0
51,22,40,1,0
50,35,45,1,0
49,29,41,1,0
90,26,59,0,0
48,42,40,1,0
97,38,84,0,0
48,31,32,0,1
47,28,79,0,1
77,37,62,1,0
47,38,41,1,0
93,19,56,0,0
98,35,48,0,0
55,31,62,1,0
61,39,80,0,1
92,38,60,1,0
63,35,86,0,1
55,30,33,0,1
38,26,93,1,0
80,38,59,0,0
60,22,45,0,1
80,34,80,0,0
72,17,79,1,0
34,19,59,1,0
66,28,50,0,1
60,42,49,1,0
59,18,47,0,1
85,29,59,1,0
100,25,47,0,0
100,25,59,1,0
99,29,81,0,0
47,38,61,1,0
79,23,31,0,0
70,42,93,0,1
61,30,67,1,0
68,41,60,1,0
82,39,37,0,0
45,42,71,0,1
97,35,89,1,0
87,24,70,1,0
48,39,66,1,0
88,40,92,1,0
38,23,83,0,1
39,27,57,0,1
47,41,42,1,0
49,37,60,0,1
48,32,84,0,1
81,33,37,0,0
55,42,97,1,0
51,41,38,1,0
88,33,79,0,0
87,36,56,0,0
84,35,90,0,0
40,40,92,0,1
82,38,85,1,0
85,35,52,1,0
57,36,96,1,0
58,31,42,1,0
38,23,91,0,1
30,17,41,1,0
87,23,41,1,0
53,18,61,1,0
83,40,82,1,0
42,19,35,0,1
31,35,86,0,1
45,26,71,0,1
54,21,41,0,1
100,31,38,1,0
66,19,81,1,0
79,37,59,0,0
52,19,88,0,1
45,18,54,0,1
52,19,100,1,0
97,22,50,0,0
51,42,91,0,1
54,35,39,1,0
82,18,65,1,0
92,33,87,0,0
74,41,57,0,0
80,26,55,0,0
67,36,83,0,1
38,42,82,0,1
44,30,74,1,0
98,23,31,1,0
71,35,59,1,0
97,40,98,0,0
96,18,48,0,0
30,40,49,1,0
60,21,61,1,0
54,29,71,0,1
61,20,77,1,0
69,17,64,1,0
35,33,95,0,1
83,28,81,0,0
77,23,100,1,0
80,17,83,1,0
70,27,39,0,1
33,19,31,0,1
31,39,98,1,0
52,38,76,1,0
47,25,60,1,0
47,26,69,0,1
87,32,46,0,0
33,28,50,1,0
46,30,41,1,0
31,39,49,0,1
36,28,78,1,0
45,20,45,0,1
90,17,61,1,0
98,38,88,1,0
51,39,98,0,1
64,32,31,0,1
80,38,75,1,0
46,28,97,1,0
98,27,77,1,0
32,39,60,0,1
79,24,62,0,0
90,28,79,1,0
88,26,61,1,0
41,33,55,1,0
86,28,31,1,0
77,29,73,0,0
39,28,79,0,1
55,30,61,0,1
52,26,53,1,0
95,27,73,1,0
98,17,79,0,0
45,28,47,1,0
31,27,91,1,0
93,24,84,1,0
57,21,42,0,1
58,39,36,0,1
84,26,71,0,0
33,32,87,1,0
57,30,95,1,0
55,36,74,0,1
44,20,72,0,1
60,32,79,1,0
54,30,97,1,0
93,39,58,1,0
79,18,40,0,0
94,28,65,0,0
62,21,45,0,1
51,29,93,0,1
76,19,65,0,0
98,21,98,1,0
36,18,37,1,0
67,21,31,1,0
98,33,66,1,0
99,29,74,0,0
54,24,99,1,0
85,20,58,1,0
53,26,79,1,0
58,30,96,0,1
75,38,46,1,0
47,39,83,0,1
46,41,100,0,1
52,40,52,1,0
93,21,52,0,0
42,18,89,0,1
34,24,80,0,1
58,34,46,1,0
38,42,79,0,1
89,22,97,0,0
41,33,46,1,0
86,18,45,1,0
75,20,35,0,0
57,39,80,1,0
43,26,66,0,1
71,29,83,0,0
94,23,33,0,0
75,18,96,0,0
97,30,70,1,0
84,38,45,1,0
78,41,82,1,0
39,30,87,0,1
46,37,80,0,1
64,25,91,0,1
88,24,87,0,0
87,37,50,1,0
84,34,65,0,0
35,35,43,1,0
74,20,48,0,0
46,24,59,1,0
61,33,70,1,0
47,27,90,1,0
97,19,42,0,0
57,22,96,1,0
47,40,99,0,1
36,35,89,1,0
40,25,38,0,1
49,30,35,0,1
72,29,45,1,0
97,38,47,1,0
93,39,80,1,0
76,33,51,0,0
91,26,98,0,0
54,28,78,0,1
76,18,30,0,0
65,38,75,0,1
68,35,100,1,0
94,29,74,1,0
64,24,63,0,1
30,28,90,1,0
98,40,84,0,0
90,27,61,1,0
32,35,39,0,1
70,18,45,0,1
47,23,95,0,1
